keywords;acces;trash;kw_acces;kw_acces_tl;kw_acces_lots;kw_trash;kw_trash_tl;kw_trash_lots
телефон;18;0;"поставк - 34; ip-телефон - 11; владивосток - 8; телефонн - 7; хабаровск - 7";телефон+(поставк/ip-телефон/владивосток/телефонн/хабаровск);36;"телефонн - 4; канализац - 4; заключен - 3; выполнен - 3; работ - 3";телефон+(телефонн/канализац/заключен/выполнен/работ);4
приобретен;18;23;"прав - 9; неисключительн - 7; открыт - 7; ресурс - 7; оптическ - 7";приобретен+(прав/неисключительн/открыт/ресурс/оптическ);17;"открыт - 14; мтс-банк - 9; услуг - 8; предложен - 8; лиценз - 6";приобретен+(открыт/мтс-банк/услуг/предложен/лиценз);16
нужд;17;13;"поставк - 14; открыт - 5; предложен - 4; huawei - 3; поставщик - 3";нужд+(поставк/открыт/предложен/huawei/поставщик);17;"техническ - 9; поддержк - 8; программн - 8; работ - 7; црцп - 5";нужд+(техническ/поддержк/программн/работ/црцп);12
серверн;17;3;"поставк - 13; оборудовани - 9; комплектующ - 4; предложен - 4; открыт - 3";серверн+(поставк/оборудовани/комплектующ/предложен/открыт);15;"открыт - 3; лиценз - 3; прав - 2; заключен - 2; предложен - 2";серверн+(открыт/лиценз/прав/заключен/предложен);3
выбор;17;19;"поставщик - 15; спецификаци - 9; поставк - 9; оборудовани - 8; соответстви - 8";выбор+(поставщик/спецификаци/поставк/оборудовани/соответстви);15;"предложен - 18; открыт - 14; поставщик - 12; услуг - 9; агентств - 7";выбор+(предложен/открыт/поставщик/услуг/агентств);18
поставщик;16;13;"выбор - 15; спецификаци - 9; поставк - 9; оборудовани - 8; соответстви - 8";поставщик+(выбор/спецификаци/поставк/оборудовани/соответстви);15;"выбор - 12; предложен - 12; открыт - 9; защ - 6; техническ - 6";поставщик+(выбор/предложен/открыт/защ/техническ);13
владивосток;16;7;"поставк - 15; ip-телефон - 6; лиценз - 2; оборудовани - 1; серверн - 1";владивосток+(поставк/ip-телефон/лиценз/оборудовани/серверн);15;"предложен - 9; открыт - 8; модернизац - 7; выполнен - 5; сист - 4";владивосток+(предложен/открыт/модернизац/выполнен/сист);7
спецификаци;14;2;"поставк - 13; соответстви - 11; выбор - 9; поставщик - 9; оборудовани - 6";спецификаци+(поставк/соответстви/выбор/поставщик/оборудовани);13;"приобретен - 2; сертификат - 2; техническ - 2; поддержк - 2; соответств - 2";спецификаци+(приобретен/сертификат/техническ/поддержк/соответств);2
оптическ;13;15;"предложен - 7; ресурс - 7; открыт - 6; приобретен - 4; волс - 4";оптическ+(предложен/ресурс/открыт/приобретен/волс);6;"волоконно-оптическ - 6; предложен - 5; поставк - 5; открыт - 5; мощност - 4";оптическ+(волоконно-оптическ/предложен/поставк/открыт/мощност);14
комплекс;13;35;"поставк - 6; программн - 3; программно-аппаратн - 3; серебрян - 3; выбор - 3";комплекс+(поставк/программн/программно-аппаратн/серебрян/выбор);12;"открыт - 19; работ - 19; предложен - 17; техническ - 15; выполнен - 14";комплекс+(открыт/работ/предложен/техническ/выполнен);33
модул;12;6;"поставк - 12; коммутатор - 5; калуг - 2; кемеров - 2; оборудовани - 2";модул+(поставк/коммутатор/калуг/кемеров/оборудовани);12;"предложен - 6; строительств - 5; обработк - 4; открыт - 4; данн - 4";модул+(предложен/строительств/обработк/открыт/данн);6
мтс-банк;12;49;"закупк - 8; открыт - 4; карт - 3; бесперебойн - 2; источник - 2";мтс-банк+(закупк/открыт/карт/бесперебойн/источник);11;"открыт - 36; сист - 30; услуг - 29; предложен - 26; техническ - 19";мтс-банк+(открыт/сист/услуг/предложен/техническ);48
кабел;12;6;"поставк - 7; предложен - 5; станц - 4; электропитани - 4; арен - 4";кабел+(поставк/предложен/станц/электропитани/арен);9;"кабельн - 15; выполнен - 12; работ - 11; сист - 8; открыт - 7";кабел+(кабельн/выполнен/работ/сист/открыт);14
соответстви;12;6;"спецификаци - 11; поставк - 10; выбор - 8; поставщик - 8; оборудовани - 6";соответстви+(спецификаци/поставк/выбор/поставщик/оборудовани);12;"техническ - 4; оборудован - 4; приобретен - 3; работ - 3; сертификац - 2";соответстви+(техническ/оборудован/приобретен/работ/сертификац);6
ip-телефон;11;0;"поставк - 12; владивосток - 6; лиценз - 2; новосибирск - 2; коммутатор - 1";ip-телефон+(поставк/владивосток/лиценз/новосибирск/коммутатор);12;;ip-телефон+);0
работ;11;158;"поставк - 9; проведен - 5; монтаж - 5; предложен - 4; объект - 3";работ+(поставк/проведен/монтаж/предложен/объект);12;"выполнен - 96; предложен - 88; открыт - 77; сист - 61; прав - 46";работ+(выполнен/предложен/открыт/сист/прав);156
комплектующ;11;1;"поставк - 7; оборудовани - 5; серверн - 4; закупк - 2; сервер - 2";комплектующ+(поставк/оборудовани/серверн/закупк/сервер);10;"открыт - 1; предложен - 1; выбор - 1; поставщик - 1; необход - 1";комплектующ+(открыт/предложен/выбор/поставщик/необход);1
объект;11;42;"поставк - 10; предложен - 6; прав - 6; заключени - 6; договор - 6";объект+(поставк/предложен/прав/заключени/договор);10;"предложен - 35; работ - 29; объектах - 29; открыт - 26; выполнен - 24";объект+(предложен/работ/объектах/открыт/выполнен);51
хабаровск;11;3;"поставк - 11; телефон - 7; спутников - 5; компьютерн - 1; оборудовани - 1";хабаровск+(поставк/телефон/спутников/компьютерн/оборудовани);11;"крае - 3; техническ - 2; объект - 2; фили - 2; торг - 2";хабаровск+(крае/техническ/объект/фили/торг);3
монтаж;11;29;"поставк - 7; работ - 6; адрес - 4; проведен - 4; москв - 4";монтаж+(поставк/работ/адрес/проведен/москв);10;"работ - 55; выполнен - 33; сист - 27; адрес - 23; предложен - 18";монтаж+(работ/выполнен/сист/адрес/предложен);51
wi-fi;11;0;"поставк - 8; apple - 6; ipad - 4; роутер - 4; оборудовани - 3";wi-fi+(поставк/apple/ipad/роутер/оборудовани);10;;wi-fi+);0
воронеж;10;0;"поставк - 11; сервер - 7; 163329,1 - 2; воронежск - 2; коммутатор - 1";воронеж+(поставк/сервер/163329,1/воронежск/коммутатор);12;;воронеж+);0
блок;10;0;"поставк - 11; системн - 5; моноблок - 4; питани - 3; монитор - 2";блок+(поставк/системн/моноблок/питани/монитор);12;;блок+);0
обеспечени;10;13;"программн - 14; поставк - 10; обеспечен - 6; предложен - 5; закупк - 4";обеспечени+(программн/поставк/обеспечен/предложен/закупк);12;"программн - 14; поддержк - 10; техническ - 10; прав - 8; обеспечен - 6";обеспечени+(программн/поддержк/техническ/прав/обеспечен);15
лиценз;10;15;"лицензи - 22; поставк - 14; прав - 7; месяцев - 6; предложен - 5";лиценз+(лицензи/поставк/прав/месяцев/предложен);29;"открыт - 14; услуг - 13; сист - 11; приобретен - 11; мтс-банк - 10";лиценз+(открыт/услуг/сист/приобретен/мтс-банк);23
поддержк;9;37;"техническ - 5; поставк - 4; оборудовани - 3; сертификат - 3; oracle - 2";поддержк+(техническ/поставк/оборудовани/сертификат/oracle);8;"техническ - 37; услуг - 20; открыт - 15; предложен - 15; сист - 13";поддержк+(техническ/услуг/открыт/предложен/сист);33
доступ;9;20;"поставк - 8; точек - 5; сети - 3; радиодоступ - 3; открыт - 2";доступ+(поставк/точек/сети/радиодоступ/открыт);12;"услуг - 18; сист - 18; работ - 15; открыт - 11; предложен - 9";доступ+(услуг/сист/работ/открыт/предложен);22
спутников;9;3;"телефон - 7; поставк - 6; хабаровск - 5; сервис - 1; обработк - 1";спутников+(телефон/поставк/хабаровск/сервис/обработк);8;"сист - 8; wifi - 4; строительств - 4; телевиден - 4; договор - 3";спутников+(сист/wifi/строительств/телевиден/договор);3
планшетн;9;0;"компьютер - 9; apple - 6; поставк - 5; ipad - 4; keyboard - 2";планшетн+(компьютер/apple/поставк/ipad/keyboard);8;;планшетн+);0
извещен;9;5;"открыт - 9; поставк - 9; предложен - 9; ноутбук - 8; apple - 4";извещен+(открыт/поставк/предложен/ноутбук/apple);9;"сист - 5; предложен - 3; открыт - 3; замен - 2; тверск - 2";извещен+(сист/предложен/открыт/замен/тверск);5
диск;9;0;"жестк - 9; поставк - 4; сервер - 3; видеорегистратор - 1; москв - 1";диск+(жестк/поставк/сервер/видеорегистратор/москв);8;;диск+);0
санкт-петербург;9;9;"поставк - 10; объект - 4; прав - 4; заключени - 4; договор - 4";санкт-петербург+(поставк/объект/прав/заключени/договор);10;"расположенн - 6; работ - 5; сист - 5; адрес - 5; объект - 4";санкт-петербург+(расположенн/работ/сист/адрес/объект);8
жестк;9;0;"диск - 9; поставк - 4; сервер - 3; видеорегистратор - 1; москв - 1";жестк+(диск/поставк/сервер/видеорегистратор/москв);8;;жестк+);0
неисключительн;8;8;"приобретен - 7; прав - 7; лицензи - 5; использовани - 3; программн - 3";неисключительн+(приобретен/прав/лицензи/использовани/программн);8;"программн - 9; техническ - 9; поддержк - 9; прав - 6; обеспечен - 5";неисключительн+(программн/техническ/поддержк/прав/обеспечен);7
роутер;8;0;"поставк - 10; wi-fi - 4; отбор - 3; торг - 3; квалификационн - 3";роутер+(поставк/wi-fi/отбор/торг/квалификационн);10;;роутер+);0
волс;8;15;"оптическ - 7; ресурс - 7; предложен - 5; област - 4; открыт - 4";волс+(оптическ/ресурс/предложен/област/открыт);5;"открыт - 9; предложен - 9; выполнен - 9; сист - 8; территор - 8";волс+(открыт/предложен/выполнен/сист/территор);12
терминал;8;0;"поставк - 9; телефони - 5; барна - 4; термин - 2; пульт - 1";терминал+(поставк/телефони/барна/термин/пульт);10;"поставк - 1; данн - 1; отзыв - 1; работ - 1; такж - 1";терминал+(поставк/данн/отзыв/работ/такж);2
управлени;8;28;"систем - 6; поставк - 4; открыт - 3; тестировани - 3; предложен - 2";управлени+(систем/поставк/открыт/тестировани/предложен);8;"сист - 25; работ - 17; разработк - 11; оборудован - 9; выполнен - 9";управлени+(сист/работ/разработк/оборудован/выполнен);23
чебоксар;8;0;"поставк - 6; модем - 3; датчик - 3; измерени - 3; силы - 3";чебоксар+(поставк/модем/датчик/измерени/силы);5;;чебоксар+);0
монитор;8;1;"поставк - 9; мониторинг - 4; ноутбук - 3; архангельск - 3; компьютер - 3";монитор+(поставк/мониторинг/ноутбук/архангельск/компьютер);11;"мониторинг - 15; открыт - 10; сист - 9; предложен - 7; работ - 7";монитор+(мониторинг/открыт/сист/предложен/работ);15
тула;8;0;"поставк - 8; оборудовани - 2; сист - 1; сбор - 1; сервер - 1";тула+(поставк/оборудовани/сист/сбор/сервер);8;;тула+);0
ресурс;7;6;"оптическ - 7; предложен - 5; открыт - 4; приобретен - 4; волс - 4";ресурс+(оптическ/предложен/открыт/приобретен/волс);4;"оптическ - 4; открыт - 3; предложен - 3; интерн - 3; сети - 3";ресурс+(оптическ/открыт/предложен/интерн/сети);5
барна;7;1;"поставк - 7; терминал - 3; телефони - 2; активаци - 1; управлени - 1";барна+(поставк/терминал/телефони/активаци/управлени);7;"поставк - 1; биометрическ - 1; термин - 1";барна+(поставк/биометрическ/термин);1
техник;7;10;"поставк - 9; компьютерн - 4; волгоград - 2; возможн - 2; спецификаци - 2";техник+(поставк/компьютерн/волгоград/возможн/спецификаци);7;"закупк - 10; погрузочн - 8; предложен - 7; информационн - 2; модернизац - 2";техник+(закупк/погрузочн/предложен/информационн/модернизац);7
ставропол;7;0;"поставк - 7; сервер - 2; маршрутизатор - 2; трекер - 1; коммутатор - 1";ставропол+(поставк/сервер/маршрутизатор/трекер/коммутатор);7;"166471,1 - 2; лоту - 2; открыт - 1; 2023-2024г.г - 1; калмык - 1";ставропол+(166471,1/лоту/открыт/2023-2024г.г/калмык);1
сертификат;7;3;"поставк - 5; поддержк - 3; техническ - 3; открыт - 2; прав - 2";сертификат+(поставк/поддержк/техническ/открыт/прав);7;"приобретен - 3; неисключительн - 2; прав - 2; техническ - 2; поддержк - 2";сертификат+(приобретен/неисключительн/прав/техническ/поддержк);3
техническ;7;97;"поддержк - 5; поставк - 3; сертификат - 3; oracle - 2; хранени - 1";техническ+(поддержк/поставк/сертификат/oracle/хранени);6;"предложен - 61; открыт - 52; услуг - 47; работ - 39; поддержк - 36";техническ+(предложен/открыт/услуг/работ/поддержк);93
трекер;7;0;"поставк - 7; твер - 2; ставропол - 1; 163991,1 - 1; gps/глонасс - 1";трекер+(поставк/твер/ставропол/163991,1/gps/глонасс);7;;трекер+);0
твер;7;3;"поставк - 5; трекер - 2; вли-0,4кв - 1; точек - 1; телевизор - 1";твер+(поставк/трекер/вли-0,4кв/точек/телевизор);6;"тверск - 4; област - 2; замен - 1; сот - 1; поставк - 1";твер+(тверск/област/замен/сот/поставк);4
macbook;7;0;"поставк - 7; открыт - 5; предложен - 5; apple - 5; ноутбук - 4";macbook+(поставк/открыт/предложен/apple/ноутбук);7;;macbook+);0
телефонн;7;4;"поставк - 4; адаптер - 3; аппарат - 2; grandstream - 2; year - 1";телефонн+(поставк/адаптер/аппарат/grandstream/year);6;"канализац - 4; заключен - 2; техническ - 2; выполнен - 2; работ - 2";телефонн+(канализац/заключен/техническ/выполнен/работ);3
смартфон;7;0;"поставк - 4; apple - 3; москв - 2; взрывозащищенн - 1; воронеж - 1";смартфон+(поставк/apple/москв/взрывозащищенн/воронеж);6;;смартфон+);0
оборудован;7;2;"оборудовани - 78; поставк - 72; расходн - 33; материал - 33; компьютерн - 32";оборудован+(оборудовани/поставк/расходн/материал/компьютерн);86;"оборудован - 76; работ - 33; предложен - 33; открыт - 28; техническ - 28";оборудован+(оборудован/работ/предложен/открыт/техническ);71
месяцев;7;2;"лицензи - 6; антивирусн - 4; программн - 4; обеспечен - 4; антивирус - 4";месяцев+(лицензи/антивирусн/программн/обеспечен/антивирус);3;"открыт - 1; компан - 1; январ - 1; курс - 1; обучающ - 1";месяцев+(открыт/компан/январ/курс/обучающ);2
аппарат;6;0;"поставк - 9; комплекс - 6; программно-аппаратн - 3; телефонн - 2; 164676-2 - 2";аппарат+(поставк/комплекс/программно-аппаратн/телефонн/164676-2);11;"программно-аппаратн - 3; техническ - 3; открыт - 3; комплекс - 3; мониторинг - 2";аппарат+(программно-аппаратн/техническ/открыт/комплекс/мониторинг);3
арен;6;0;"поставк - 6; заключени - 5; договор - 5; открыт - 5; прав - 5";арен+(поставк/заключени/договор/открыт/прав);8;"аренд - 4; оказан - 3; предоставлен - 3; временн - 3; пользован - 3";арен+(аренд/оказан/предоставлен/временн/пользован);5
kaspersky;6;4;"прав - 6; лицензи - 3; использован - 3; приобретен - 3; открыт - 2";kaspersky+(прав/лицензи/использован/приобретен/открыт);6;"лиценз - 3; профессиональн - 3; открыт - 3; приобретен - 3; услуг - 3";kaspersky+(лиценз/профессиональн/открыт/приобретен/услуг);3
продлен;6;13;"поставк - 69; сервер - 10; предложен - 9; открыт - 8; коммутатор - 8";продлен+(поставк/сервер/предложен/открыт/коммутатор);76;"предложен - 29; открыт - 26; торг - 23; выполнен - 14; прав - 14";продлен+(предложен/открыт/торг/выполнен/прав);34
казан;6;2;"поставк - 6; сервер - 4; точек - 1; доступ - 1; смартфон - 1";казан+(поставк/сервер/точек/доступ/смартфон);6;"услуг - 57; оказан - 43; предложен - 19; открыт - 18; техническ - 11";казан+(услуг/оказан/предложен/открыт/техническ);50
новосибирск;6;11;"поставк - 3; област - 2; ресурс - 2; оптическ - 2; ip-телефон - 2";новосибирск+(поставк/област/ресурс/оптическ/ip-телефон);5;"предложен - 9; открыт - 8; торг - 7; выполнен - 6; работ - 6";новосибирск+(предложен/открыт/торг/выполнен/работ);9
экран;6;1;"поставк - 8; led-экран - 2; москв - 2; светодиодн - 2; открыт - 1";экран+(поставк/led-экран/москв/светодиодн/открыт);8;"поставк - 1; межсетев - 1; москв - 1";экран+(поставк/межсетев/москв);1
питани;6;2;"поставк - 7; кабел - 5; предложен - 4; арен - 4; станц - 4";питани+(поставк/кабел/предложен/арен/станц);8;"электропитан - 6; сист - 5; предложен - 5; прав - 4; работ - 4";питани+(электропитан/сист/предложен/прав/работ);8
обеспечен;6;6;"программн - 14; поставк - 10; обеспечени - 10; предложен - 5; антивирус - 4";обеспечен+(программн/поставк/обеспечени/предложен/антивирус);12;"программн - 14; обеспечен - 13; поддержк - 10; техническ - 10; прав - 8";обеспечен+(программн/обеспечен/поддержк/техническ/прав);15
волгоград;6;3;"поставк - 6; компьютерн - 2; техник - 2; gsm-модем - 2; 164633,1 - 2";волгоград+(поставк/компьютерн/техник/gsm-модем/164633,1);6;"работ - 3; выполнен - 2; втор - 1; мтс-банк - 1; строительно-монтажн - 1";волгоград+(работ/выполнен/втор/мтс-банк/строительно-монтажн);2
сетев;6;4;"поставк - 6; оборудовани - 3; москв - 1; point - 1; check - 1";сетев+(поставк/оборудовани/москв/point/check);7;"лиценз - 3; nanocad - 2; открыт - 2; поставк - 1; сервер - 1";сетев+(лиценз/nanocad/открыт/поставк/сервер);3
модем;6;0;"поставк - 10; датчик - 3; чебоксар - 3; силы - 3; измерени - 3";модем+(поставк/датчик/чебоксар/силы/измерени);9;;модем+);0
телефони;6;2;"терминал - 5; поставк - 4; барна - 2; блок - 1; питани - 1";телефони+(терминал/поставк/барна/блок/питани);5;"сетях - 1; междуреченск - 1; края - 1; краснодарск - 1; геленджик - 1";телефони+(сетях/междуреченск/края/краснодарск/геленджик);2
связ;6;24;"поставк - 5; оборудовани - 3; видеоконференцсвяз - 2; оператор - 2; сотов - 2";связ+(поставк/оборудовани/видеоконференцсвяз/оператор/сотов);7;"услуг - 25; работ - 13; выполнен - 10; предложен - 9; открыт - 9";связ+(услуг/работ/выполнен/предложен/открыт);23
использовани;6;3;"прав - 10; приобретен - 7; неисключительн - 6; использован - 5; kaspersky - 5";использовани+(прав/приобретен/неисключительн/использован/kaspersky);11;"прав - 7; использован - 4; техническ - 3; поддержк - 3; дистанционн - 3";использовани+(прав/использован/техническ/поддержк/дистанционн);7
ipad;6;0;"apple - 8; планшетн - 2; keyboard - 2; поставк - 2; mu8f2zm/a - 2";ipad+(apple/планшетн/keyboard/поставк/mu8f2zm/a);4;;ipad+);0
област;6;47;"оптическ - 6; ресурс - 6; волс - 4; торг - 4; предложен - 4";област+(оптическ/ресурс/волс/торг/предложен);5;"предложен - 22; работ - 21; открыт - 17; торг - 13; техническ - 13";област+(предложен/работ/открыт/торг/техническ);29
видеонаблюдени;6;12;"поставк - 4; монтаж - 2; систем - 2; камер - 2; вологодск - 1";видеонаблюдени+(поставк/монтаж/систем/камер/вологодск);6;"сист - 14; выполнен - 9; сист - 9; работ - 7; красноярск - 6";видеонаблюдени+(сист/выполнен/сист/работ/красноярск);10
видеокамер;6;2;"поставк - 4; чебоксар - 3; ipc6622sr-x33-vf-ru - 2; петрозаводск - 1; коммутатор - 1";видеокамер+(поставк/чебоксар/ipc6622sr-x33-vf-ru/петрозаводск/коммутатор);5;"услуг - 2; оказан - 1; видеоизображен - 1; оборудован - 1; видеорегистратор - 1";видеокамер+(услуг/оказан/видеоизображен/оборудован/видеорегистратор);2
оригинальн;5;0;"расходн - 5; материал - 5; canon - 4; поставк - 3; печатн - 3";оригинальн+(расходн/материал/canon/поставк/печатн);5;;оригинальн+);0
точек;5;0;"поставк - 5; доступ - 5; казан - 1; телевизор - 1; твер - 1";точек+(поставк/доступ/казан/телевизор/твер);5;;точек+);0
радиостанц;5;0;"поставк - 5; носим - 2; аналогов - 2; динамик-микрофон - 1; взрывозащищённ - 1";радиостанц+(поставк/носим/аналогов/динамик-микрофон/взрывозащищённ);5;;радиостанц+);0
бизнес;5;2;"антивирус - 5; касперск - 4; антивирусн - 4; месяцев - 4; стандартн - 4";бизнес+(антивирус/касперск/антивирусн/месяцев/стандартн);3;"объектах - 4; обслуживан - 3; работ - 2; сист - 2; предложен - 2";бизнес+(объектах/обслуживан/работ/сист/предложен);5
маршрутизатор;5;0;"поставк - 5; ставропол - 2; предложен - 1; оборудовани - 1; беспроводн - 1";маршрутизатор+(поставк/ставропол/предложен/оборудовани/беспроводн);5;;маршрутизатор+);0
планшет;5;0;"поставк - 10; компьютер - 9; планшетн - 9; apple - 8; ipad - 5";планшет+(поставк/компьютер/планшетн/apple/ipad);13;;планшет+);0
архангельск;5;0;"поставк - 5; компьютер - 3; монитор - 3; автоматизированн - 1; рабоч - 1";архангельск+(поставк/компьютер/монитор/автоматизированн/рабоч);4;;архангельск+);0
касперск;5;2;"закупк - 4; лицензи - 4; антивирусн - 4; программн - 4; обеспечен - 4";касперск+(закупк/лицензи/антивирусн/программн/обеспечен);3;"защ - 2; лиценз - 1; пз-20220058 - 1; решен - 1; базе - 1";касперск+(защ/лиценз/пз-20220058/решен/базе);2
антивирус;5;0;"бизнес - 5; закупк - 4; лицензи - 4; антивирусн - 4; программн - 4";антивирус+(бизнес/закупк/лицензи/антивирусн/программн);3;;антивирус+);0
тока;5;0;"поставк - 5; модем - 3; датчик - 3; измерени - 3; силы - 3";тока+(поставк/модем/датчик/измерени/силы);4;"rtmptranscoder - 2; устройств - 2; сист - 2; управлен - 2; видеопоток - 2";тока+(rtmptranscoder/устройств/сист/управлен/видеопоток);2
панел;5;3;"поставк - 8; москв - 2; арен - 2; live - 2; площадк - 2";панел+(поставк/москв/арен/live/площадк);8;"объект - 3; ноябрьск - 3; адрес - 2; федерац - 2; ямало-ненецк - 2";панел+(объект/ноябрьск/адрес/федерац/ямало-ненецк);2
использован;5;4;"прав - 10; приобретен - 7; использовани - 6; неисключительн - 6; kaspersky - 5";использован+(прав/приобретен/использовани/неисключительн/kaspersky);11;"прав - 7; техническ - 3; использован - 3; дистанционн - 3; поддержк - 3";использован+(прав/техническ/использован/дистанционн/поддержк);7
системн;5;0;"поставк - 5; блок - 5; монитор - 2; сервер - 1; усинск - 1";системн+(поставк/блок/монитор/сервер/усинск);5;;системн+);0
проведен;5;27;"поставк - 296; открыт - 41; сервер - 38; предложен - 38; оборудовани - 30";проведен+(поставк/открыт/сервер/предложен/оборудовани);310;"предложен - 92; открыт - 90; торг - 58; работ - 58; прав - 45";проведен+(предложен/открыт/торг/работ/прав);113
телевизор;5;0;"поставк - 4; стерлитамак - 1; комплекс - 1; hg50au800 - 1; model - 1";телевизор+(поставк/стерлитамак/комплекс/hg50au800/model);5;;телевизор+);0
